FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,UTILIIZA_PRICE,UTILIIZA_CHRGE_PD,OFFM_TY,ACMD_NMPR_CO,MON_OPER_TIME,TUES_OPER_TIME,WED_OPER_TIME,THUR_OPER_TIME,FRI_OPER_TIME,SAT_OPER_TIME,SUN_OPER_TIME,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT,WRHS_HOLD_AT,LAST_UPDT_DE
[차고123]강남역6인독립오피스,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,06243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,,월,독립오피스,6,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[캔버스랩가로수길] 1인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,06028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,20221116
[캔버스랩가로수길] 4인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,06028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,20221116
[캔버스랩가로수길] 6인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,06028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,20221116
[캔버스랩가로수길] 8인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,06028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,,월,독립오피스,8,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,20221116
[토즈 워크센터 강남2호] 1인실,서울특별시,강남구,역삼동,,832-7 번지,강남대로,320 번,37.49185331,127.0310482,06252,서울특별시 강남구 강남대로 320,서울특별시 강남구 역삼동 832-7,,일,독립오피스,1,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무일,휴무일,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,20221116
[토즈 워크센터 강남2호] 2인실,서울특별시,강남구,역삼동,,832-7 번지,강남대로,320 번,37.49185331,127.0310482,06252,서울특별시 강남구 강남대로 320,서울특별시 강남구 역삼동 832-7,,일,독립오피스,2,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무일,휴무일,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,20221116
[프리스타일]홍대 합정 독립오피스,서울특별시,마포구,서교동,,352-31 번지,월드컵북로1길,26 번,37.55478892,126.9198554,04031,서울특별시 마포구 월드컵북로1길 26,서울특별시 마포구 서교동 352-31,,월,독립오피스,8,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,20221116
[하남 미사] PLACE93,경기도,하남시,풍산동,,489 번지,미사강변서로,25 번,37.55265997,127.1828084,12918,경기도 하남시 미사강변서로 25,경기도 하남시 풍산동 489,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,20221116
[할인] 시혜적동물 낙성대 오피스,서울특별시,관악구,봉천동,,1632-11 번지,남부순환로246길,18 번,37.47571446,126.9642194,08793,서울특별시 관악구 남부순환로246길 18,서울특별시 관악구 봉천동 1632-11,,일,독립오피스,15,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,20221116
[할인] 시혜적동물 신림 오피스,서울특별시,관악구,신림동,,1417-49 번지,봉천로14길,21 번,37.48718511,126.9304591,08753,서울특별시 관악구 봉천로14길 21,서울특별시 관악구 신림동 1417-49,,일,독립오피스,8,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,05:00 ~ 22:00,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,20221116
[GARAGE 구리] 1인 사무실,경기도,구리시,수택동,,526-4 번지,검배로,7 번,37.6004001,127.1419304,11929,경기도 구리시 검배로 7,경기도 구리시 수택동 526-4,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
